s1_camera_offhand_1,"The person uses their left hand to pick up the camera, brings it closer to their eyes to take a photo, and then places it back on the table with their right hand"
s1_stapler_pick_all,The person repeatedly picks up and places the stapler on the table always with their right hand.
s1_apple_offhand_1,"The person picks up the apple with their left hand, passes it from one hand to the other,  eats the apple and then puts it down on the table using the right hand."
s1_piggybank_pick_all,"The person repeatedly picks up and puts down the piggybank, mainly using their right hand, but occasionally using both hands"
s1_binoculars_pick_all,"The person repeatedly lifts the binoculars, grabbing them from various spots and placing them on different sides, before finally setting them on the table with alternating use of their right hand and both hands."
s1_mouse_offhand_1,"The person picks up the mouse using the left hand, passes it to the other hand, inspects and then puts it down on the table with the index finger positioned on the mouse wheel."
s1_stapler_staple_2,"The person picks up the stapler, places it on the table and uses it by pressing the head of the stapler with the palm multiple times, always using the right hand."
s1_wineglass_drink_2,"The person picks up the wine glass, swirls it around, takes a sip and then puts it down on the table, using their right hand."
s1_pyramidlarge_inspect_1,"The person picks up the large pyramid with their right hand, inspects it by passing it from one hand to the other, and then puts it down with their right hand"
s1_bowl_pass_1,"The person picks up the bowl from a high table with their right hand, passes it to someone on the other side, and then sets it down, always using their right hand"
s1_stamp_stamp_1,"The person picks up the stamp and multiple times stamps something on the table before finally putting the stamp down on the table, always using their right hand."
s1_cylindermedium_offhand_1,"The person picks up the medium cylinder with their left hand, passes it to their right hand, inspects it, passes it back to their left hand, and finally places it on the table with their left hand."
s1_pyramidmedium_pick_all,"The person picks up and puts down the medium pyramid multiple times on the table, all using the right hand "
s1_phone_offhand_1,"The person picks up the phone using their left hand, then passes it to their right hand and unlocks it using the thumb, brings it closer to the ear and starts talking on the phone while walking and finally puts the phone back on the table using the right hand."
s1_waterbottle_pick_all,"The person repeatedly picks up the water bottle from various locations, placing it back on the table in different positions, sometimes sideways and other times right side up, always using their right hand."
s1_watch_pick_all,"The person multiple times lifts the watch and puts it on the table in different positions, always using their right hand"
s1_hand_offhand_1,"The person picks up the toy hand with their left hand, passes it to their right hand for close investigation, and then passes it to the other hand before placing it on the table."
s1_cup_drink_2,"The person picks up the cup and takes a sip from it and then place the cup back down on the table, always using their right hand."
s1_train_offhand_1,"The person picks up the train with their left hand, passes it to their right hand, investigates it, then rides the train on a track by pushing it through the air with their right hand, and finally puts it down on the table with their right hand."
s1_elephant_offhand_1,"The person picks up the elephant with their left hand, examines it closely with their right hand at eye level, and then places it on the table with their left hand."
